time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed,fuel
130.8,rl_1,47.19598317742098,3.534351797398566,7.745468248058151,11.085160236888484,rl_2,,,,,-1.4382019562257309,0,lower_ring,0,783.5965348142893,111.58653481428922,rl_7,-2.7214682726058435,0.0
131.0,rl_1,48.485923096037645,4.409806425229488,7.427147216176275,10.500581110280905,rl_2,,,,,-1.5916051594093794,0,lower_ring,0,785.0819642575245,113.07196425752448,rl_7,-2.922895633037858,0.0
131.2,rl_1,49.65534779593115,5.325855773479397,7.064422865313779,9.896172651872646,rl_2,,,,,-1.8136217543124777,0,lower_ring,0,786.4948488305873,114.48484883058724,rl_7,-3.0220422920412533,0.0
131.4,rl_1,50.709472961507146,6.151587153180595,6.367905452378456,9.34702025346796,rl_2,,,,,-3.4825870646766166,0,lower_ring,0,787.768429921063,115.75842992106293,rl_7,-2.745761992023403,0.0
131.6,rl_1,51.636725026465484,7.026725026465485,6.071529413906195,8.780008396564483,rl_2,,,,,-1.4818801923613067,0,lower_ring,0,788.9827358038442,116.97273580384416,rl_7,-2.8350592845174574,0.0
131.8,rl_1,52.488641549019626,7.878641549019627,5.729503991102776,8.20696679554878,rl_2,,,,,-1.7101271140170926,0,lower_ring,0,790.1286366020648,118.11863660206471,rl_7,-2.86520800507847,0.0
132.0,rl_1,53.28432116614984,8.674321166149838,5.351286682782804,7.638299169342531,rl_2,,,,,-1.8910865415998623,0,lower_ring,0,791.1988939386214,119.18889393862128,rl_7,-2.8433381310312718,0.0
132.2,rl_1,53.97382270244791,9.450624726529254,4.9467506756202715,7.083218806550519,rl_2,,,,,-2.0226800358126606,0,lower_ring,0,792.1882440737454,120.17824407374533,rl_7,-2.775401813960095,0.0
132.4,rl_1,54.56071811577606,10.199852913756683,4.526041512265974,6.551119375917267,rl_2,,,,,-2.103545816771488,0,lower_ring,0,793.0934523761987,121.08345237619852,rl_7,-2.6604971531662667,0.0
132.6,rl_1,55.057295560555545,10.833781566666655,3.8295240993306505,6.104877203510512,rl_2,,,,,-3.4825870646766166,0,lower_ring,0,793.8593571960648,121.84935719606466,rl_7,-2.231210862033813,0.0
132.8,rl_1,55.51671870493238,11.420279197786018,3.5429962066898875,5.671080094271289,rl_2,,,,,-1.4326394632038153,0,lower_ring,0,794.5679564374027,122.55795643740264,rl_7,-2.16898554619607,0.0
133.0,rl_1,55.935405285435294,11.954772704811017,3.22884248360152,5.2641518726643,rl_2,,,,,-1.5707686154418377,0,lower_ring,0,795.2137249341231,123.20372493412295,rl_7,-2.0346411080349704,0.0
133.2,rl_1,56.263544079913906,12.469570406354991,2.9065908535224225,4.874438709100076,rl_2,,,,,-1.611258150395487,0,lower_ring,0,795.7950431048275,123.78504310482742,rl_7,-1.9485658178211125,0.0
133.4,rl_1,56.543502897981284,12.932852511380197,2.5742111635830485,4.518045746894927,rl_2,,,,,-1.6618984496968703,0,lower_ring,0,796.3098853375441,124.29988533754403,rl_7,-1.7819648110258266,0.0
133.6,rl_1,56.78846828827318,13.338226710543434,2.2524478662040384,4.205676002374801,rl_2,,,,,-1.6088164868950505,0,lower_ring,0,796.7603749107849,124.75037491078483,rl_7,-1.5618487226007047,0.0
133.8,rl_1,57.00123233228755,13.690313402668739,1.956357656785889,3.943600972966081,rl_2,,,,,-1.4804510470907473,0,lower_ring,0,797.1516464421421,125.141646442142,rl_7,-1.3103751470436478,0.0
134.0,rl_1,57.18564000390394,13.995475336409577,1.695621842534929,3.7346483203350402,rl_2,,,,,-1.3036790712547996,0,lower_ring,0,797.4907708106491,125.48077081064899,rl_7,-1.0447632631551822,0.0
134.2,rl_1,57.346121157879445,14.261043134358882,1.4756183818756914,3.579065357334869,rl_2,,,,,-1.100017303296188,0,lower_ring,0,797.7858944870243,125.77589448702413,rl_7,-0.777914815000847,0.0
134.4,rl_1,57.487349259520734,14.494750551288117,1.2985872649638697,3.4752199856390007,rl_2,,,,,-0.8851555845591086,0,lower_ring,0,798.045611940017,126.0356119400169,rl_7,-0.5192268584793551,0.0
134.6,rl_1,57.61400410284704,14.70434181486364,1.164586684081374,3.4201545979755537,rl_2,,,,,-0.6700029044124789,0,lower_ring,0,798.2785292768333,126.26852927683318,rl_7,-0.27532693831721966,0.0
134.8,rl_1,57.73061042811231,14.897304566317839,1.0721909254882447,3.4100222452782134,rl_2,,,,,-0.46197879296564603,0,lower_ring,0,798.4929674619309,126.48296746193083,rl_7,-0.050661763486725464,0.0
135.0,rl_1,57.84143029803808,15.080691762235602,1.018984678814722,3.440430475268556,rl_2,,,,,-0.2660312333676129,0,lower_ring,0,798.6967643976939,126.68676439769376,rl_7,0.1520411499516512,0.0
135.2,rl_1,57.95039443012615,15.261008041731609,1.0019212368004764,3.506711201718076,rl_2,,,,,-0.0853172100712285,0,lower_ring,0,798.8971486450539,126.88714864505386,rl_7,0.3314036322475369,0.0
135.4,rl_1,58.04445516148543,15.452868765585555,1.0175919298605263,3.6041300755869656,rl_2,,,,,0.07835346530024934,0,lower_ring,0,799.1006670310261,127.09066703102596,rl_7,0.4870943693444305,0.00028636202109114534
135.6,rl_1,58.13632803924121,15.656510558318104,1.062432643700713,3.728046330212507,rl_2,,,,,0.22420356920093365,0,lower_ring,0,799.3131535597662,127.3031535597661,rl_7,0.6195812731276895,0.0002904750561035955
135.8,rl_1,58.23429282012742,15.873655422957608,1.1328803852554286,3.8740326699855245,rl_2,,,,,0.3522387077735778,0,lower_ring,0,799.5397296368174,127.5297296368172,rl_7,0.7299316988651359,0.0002943357426481327
136.0,rl_1,58.340265739261994,16.108550810593478,1.2254877760128269,4.037963429358314,rl_2,,,,,0.4630369537869916,0,lower_ring,0,799.7848271920199,127.77482719201976,rl_7,0.8196537968639259,0.00029815045646216994
136.2,rl_1,58.45588177617837,16.364820752293465,1.3370023314364945,4.216077597604539,rl_2,,,,,0.5575727771183381,0,lower_ring,0,800.0522276583072,128.04222765830707,rl_7,0.8905708412312341,0.00030203159511908956
136.4,rl_1,58.5825159185794,16.645512991500855,1.4644174644397205,4.405021523981873,rl_2,,,,,0.6370756650161302,0,lower_ring,0,800.3451111511952,128.335111151195,rl_7,0.9447196318866,0.00030602127193027595
136.6,rl_1,58.72130697124714,16.9531517579236,1.6050019179737183,4.601874496346767,rl_2,,,,,0.7029222676699887,0,lower_ring,0,800.6661115347898,128.65611153478974,rl_7,0.9842648618244187,0.0003101135996196318
136.8,rl_1,58.87318255206582,17.289793172731887,1.7563134929951962,4.804159180125055,rl_2,,,,,0.7565578751073898,0,lower_ring,0,801.0173742333889,129.0073742333888,rl_7,1.0114234188914337,0.0003142738854677413
137.0,rl_1,59.038884317701225,17.657081162802726,1.9162017042491066,5.009838226512727,rl_2,,,,,0.799441056269552,0,lower_ring,0,801.4006145742387,129.3906145742386,rl_7,1.028395231938346,0.00031845410286381216
137.2,rl_1,59.21899274818649,18.056302397254125,2.082802679392396,5.217298177400409,rl_2,,,,,0.8330048757164477,0,lower_ring,0,801.8171751101172,129.8071751101171,rl_7,1.0372997544384002,0.0003226045958642094
137.4,rl_1,59.413951005927345,18.48843917237399,2.25452845543291,5.425321978803709,rl_2,,,,,0.8586288802025699,0,lower_ring,0,802.2680808012037,130.25808080120368,rl_7,1.0401190070164525,0.0003266822650269904
137.6,rl_1,59.603709855732816,18.961965766162095,2.4300519478665707,5.633051791028947,rl_2,,,,,0.877617462168303,0,lower_ring,0,802.7540911907771,130.744091190777,rl_7,1.0386490611262253,0.00033065560827146793
137.8,rl_1,59.76722221459914,19.485492178321817,2.608288307439372,5.839917269338798,rl_2,,,,,0.8911817978640069,0,lower_ring,0,803.275748852265,131.26574885226486,rl_7,1.0343273915492288,0.0003345070429130176
138.0,rl_1,59.94202334626909,20.045162468317702,2.788362610771434,6.045588107174865,rl_2,,,,,0.9003715166603099,0,lower_ring,0,803.8334213744192,131.82342137441915,rl_7,1.0283541891803245,0.0003382284550039556
138.2,rl_1,60.12818516946515,20.641206902234902,2.969584134804208,6.249927465638194,rl_2,,,,,0.9061076201638696,0,lower_ring,0,804.42733820138,132.41733820138,rl_7,1.0216967923167113,0.0003418221315554198
138.4,rl_1,60.32574623266661,21.27374890283608,3.151420569835601,6.452636571253834,rl_2,,,,,0.909182175156964,0,lower_ring,0,805.0576223153472,133.04762231534713,rl_7,1.0135455280781969,0.00034529861710712675
138.6,rl_1,60.53471220268352,21.942806613855154,3.3333473997120127,6.653588487136233,rl_2,,,,,0.9096341493820592,0,lower_ring,0,805.7242917952897,133.71429179528954,rl_7,1.004759579412009,0.00034861003626479326
138.8,rl_1,60.728939101910036,22.654737694356847,3.5149526995782443,6.852805153168617,rl_2,,,,,0.9080264993311582,0,lower_ring,0,806.4272823352053,134.4172823352052,rl_7,0.9960833301620049,0.0003517651076098086
139.0,rl_1,60.867605403718564,23.419441564624464,3.6959286894586705,7.05042638589881,rl_2,,,,,0.9048799494021309,0,lower_ring,0,807.166468073097,135.15646807309693,rl_7,0.9881061636509565,0.0003547815850484209
139.2,rl_1,61.013029936059375,24.221415088562765,3.8760585248151296,7.24667441193491,rl_2,,,,,0.9006491767822955,0,lower_ring,0,807.94167977806,135.93167977805996,rl_7,0.9812401301805043,0.0003576823883546229
139.4,rl_1,61.16517559311399,25.060453638496284,4.055199363873728,7.441817202557122,rl_2,,,,,0.8957041952929901,0,lower_ring,0,808.7527196508348,136.74271965083472,rl_7,0.9757139531111179,0.0003604913779276157
139.6,rl_1,61.32400196148052,25.93633434639994,4.233263048285199,7.6358174188589425,rl_2,,,,,0.8903184220573568,0,lower_ring,0,809.5993722604919,137.58937226049176,rl_7,0.9700010815091158,0.0003632292503112079
139.8,rl_1,61.41142826995086,26.858256006598648,4.410061166867146,7.8286889636921835,rl_2,,,,,0.8839905929097336,0,lower_ring,0,810.4813844938653,138.47138449386517,rl_7,0.9643577241661374,0.0003658194539377168
140.0,rl_1,61.47109008183343,27.82062697218272,4.585434227120318,8.020478973951812,rl_2,,,,,0.8768653012658634,0,lower_ring,0,811.3984713392894,139.38847133928923,rl_7,0.9589500512980846,0.00036826324598056325
140.2,rl_1,61.5330133749298,28.81947661299808,4.759245129513719,8.211229669861087,rl_2,,,,,0.8690545119670023,0,lower_ring,0,812.350320365192,140.34032036519196,rl_7,0.9537534795463163,0.00037056087587973975
140.4,rl_1,61.59717611652653,29.854449531797542,4.931362661305206,8.400688541746756,rl_2,,,,,0.8605876589574368,0,lower_ring,0,813.3365928974531,141.326592897453,rl_7,0.947294359428339,0.0003727031286431802
140.6,rl_1,61.6,30.876899451810225,5.101532771786168,8.588625981241533,rl_2,,,,,0.8508505524048093,0,:bottom_0,0,814.3568994518104,0.9768994518102261,rl_7,0.9396871974738863,0.00037458197625819296
140.8,rl_1,61.6,31.93080028170016,5.269504149449675,8.774812965502797,rl_2,,,,,0.8398568883175361,0,:bottom_0,0,815.4108002817003,2.030800281700161,rl_7,0.9309349213063234,0.00037617536624846176
141.0,rl_1,61.6,33.014184403280794,5.435022043052299,8.959002965337964,rl_2,,,,,0.8275894680131168,0,bottom,0,816.4978046903108,0.017804690310620597,rl_7,0.9209499991758383,0.00037745700505460803
141.2,rl_1,61.6,33.90610413753857,5.597822599944212,9.140919686316193,rl_2,,,,,0.8140027844595688,0,bottom,0,817.6173692102996,1.137369210299463,rl_7,0.9095836048911385,0.0003783960284914691
141.4,rl_1,61.6,34.823486359509836,5.75762900818783,9.320279909554305,rl_2,,,,,0.7990320412180862,0,bottom,0,818.7688950119372,2.2888950119370293,rl_7,0.8968011161905647,0.0003789579238713454
141.6,rl_1,61.6,35.765809682632394,5.914163115831954,9.496811898039773,rl_2,,,,,0.7826705382206223,0,bottom,0,819.9517276351036,3.47172763510342,rl_7,0.8826599424273454,0.00037911802045967254
