episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
2651.642814656451,1054.3020732675186,1860.5785317050133,3000.0,20,60000,False,1980000,660,33,3724dec853dd43e38dcdc341bf90d305,2022-09-07_13-09-30,1662548970,216.0354824066162,6808.514791727066,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,6808.514791727066,1980000,33,2,ad275f4e,0,4.659486286505958,1.216486039176208,0.7680938148532968,1976832,1980000,198395.13,11.924,5677.1,3.684,49.03506493506493,81.85162337662337,7.629394644936838e-07,4.999999873689376e-05,266.64886,-0.0015304313,266.65042,-3.1840088e-09,0.005483086,-1.6792728,0.0
2749.05161373178,1078.8831568349456,1894.4767584540016,3000.0,20,60000,False,2040000,680,34,3724dec853dd43e38dcdc341bf90d305,2022-09-07_13-13-16,1662549196,226.10354590415955,7034.618337631226,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,7034.618337631226,2040000,34,2,ad275f4e,0,4.661422183249951,1.2165139723058265,0.7686055520337689,2036736,2040000,200170.847,11.413,5702.257,3.626,51.44055727554179,81.64767801857586,3.814697322468419e-07,4.999999873689376e-05,358.24277,-0.00016167837,358.24292,-6.113297e-09,0.0033771025,-1.7864486,0.0
2756.9852148650407,1133.4058798125354,1910.6315660086493,3000.0,20,60000,False,2100000,700,35,3724dec853dd43e38dcdc341bf90d305,2022-09-07_13-16-58,1662549418,222.05871391296387,7256.677051544189,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,7256.677051544189,2100000,35,2,ad275f4e,0,4.666552040354674,1.216672186403788,0.7698119933899337,2096640,2100000,202131.623,11.604,5676.49,3.56,50.58769716088329,81.61104100946372,1.9073486612342094e-07,4.999999873689376e-05,282.82413,-0.001537608,282.82568,-1.9104054e-09,0.003962197,-1.7794791,0.0
2820.299284929414,1133.4058798125354,1978.6306847012277,3000.0,20,60000,False,2160000,720,36,3724dec853dd43e38dcdc341bf90d305,2022-09-07_13-20-46,1662549646,227.7470269203186,7484.424078464508,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,7484.424078464508,2160000,36,2,ad275f4e,0,4.675805872578975,1.2170386715123729,0.7718253791186704,2156544,2160000,204722.169,11.614,5687.344,3.68,52.50401234567902,81.77901234567902,9.536743306171047e-08,4.999999873689376e-05,383.08868,-0.0011113966,383.08978,-5.2217746e-09,0.00383791,-1.9117996,0.0
2820.299284929414,1222.613728396065,2044.044629019394,3000.0,20,60000,False,2220000,740,37,3724dec853dd43e38dcdc341bf90d305,2022-09-07_13-24-26,1662549866,220.33834552764893,7704.762423992157,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,7704.762423992157,2220000,37,2,ad275f4e,0,4.687560509940317,1.2175517365276816,0.7743512814408795,2216448,2220000,206468.714,11.222,5608.385,3.445,49.883809523809525,81.95619047619049,4.7683716530855236e-08,4.999999873689376e-05,376.1308,-0.00040320403,376.1312,-6.113297e-09,0.002713099,-1.9483603,0.0
2820.299284929414,1309.2057232003401,2090.296544995262,3000.0,20,60000,False,2280000,760,38,3724dec853dd43e38dcdc341bf90d305,2022-09-07_13-28-02,1662550082,216.12039947509766,7920.882823467255,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,7920.882823467255,2280000,38,2,ad275f4e,0,4.698853536338322,1.2180605033824226,0.7767623886622677,2276352,2280000,207742.829,12.168,5619.414,3.198,48.29188311688311,81.76915584415585,2.3841858265427618e-08,4.999999873689376e-05,337.10236,-3.6249305e-05,337.10242,-5.4764953e-09,0.002642318,-1.9510761,0.0
2820.299284929414,1309.2057232003401,2096.7055346529705,3000.0,20,60000,False,2340000,780,39,3724dec853dd43e38dcdc341bf90d305,2022-09-07_13-31-45,1662550305,223.2937958240509,8144.1766192913055,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,8144.1766192913055,2340000,39,2,ad275f4e,0,4.709094548135857,1.2185160542321425,0.7789521031828086,2336256,2340000,209811.244,12.364,5686.121,3.212,51.20219435736677,82.2203761755486,1.1920929132713809e-08,4.999999873689376e-05,363.23276,-0.0003723143,363.2331,-7.25954e-09,0.0041867187,-1.9990164,0.0
2820.299284929414,1367.6970133962095,2159.653579547905,3000.0,20,60000,False,2400000,800,40,3724dec853dd43e38dcdc341bf90d305,2022-09-07_13-35-25,1662550525,219.32529139518738,8363.501910686493,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,8363.501910686493,2400000,40,2,ad275f4e,0,4.71847047517625,1.219008088095488,0.7809365875100426,2396160,2400000,211689.12,12.05,5647.865,3.197,50.08945686900959,82.31725239616614,5.9604645663569045e-09,4.999999873689376e-05,380.9093,-0.00010086577,380.9094,-7.1321797e-09,0.0029164492,-2.021495,0.0
2807.158456717217,1367.6970133962095,2143.3937251094458,3000.0,20,60000,False,2460000,820,41,3724dec853dd43e38dcdc341bf90d305,2022-09-07_13-38-58,1662550738,213.37679529190063,8576.878705978394,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,8576.878705978394,2460000,41,2,ad275f4e,0,4.725333269377121,1.219375468128404,0.7824781851724252,2456064,2460000,212993.675,11.567,5645.536,3.152,47.01282894736842,80.56546052631579,2.9802322831784522e-09,4.999999873689376e-05,348.68536,-0.0004726182,348.68582,-5.6038556e-09,0.0022461046,-2.0427701,0.0
2847.5508457198166,1367.6970133962095,2150.7146167858955,3000.0,20,60000,False,2520000,840,42,3724dec853dd43e38dcdc341bf90d305,2022-09-07_13-42-28,1662550948,209.96303033828735,8786.84173631668,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,8786.84173631668,2520000,42,2,ad275f4e,0,4.730598871121865,1.2196528710986598,0.7836927336590515,2515968,2520000,213824.955,11.696,5581.513,2.825,45.576,81.76266666666666,1.4901161415892261e-09,4.999999873689376e-05,386.879,-0.0008756647,386.87988,-1.2099234e-08,0.0037178432,-2.1201336,0.0
